,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2266,18393249,1,25,34,9,29,2,6,39,17,68,2,0,1,0,3,0,2,0,0,8,1195.235906249903,1393.1727776632958,1655.4340316969294,2635.463107895215,2988.6421514902236,5565.7252181730055
2267,18403769,1,173,177,92,241,9,16,19,22,60,12,4,1,6,6,1,12,2,0,13,436.64673396530407,843.4358231931382,909.3801848085174,1388.5285943372946,1535.1967800153782,5758.284401154149
2268,18420208,0,6,5,8,5,0,1,18,0,173,0,0,1,0,1,0,1,2,1,1,3497.6659702800207,3549.9428402134617,3924.5300070143066,4591.620534576868,5387.7567575899375,8150.323674856627
2269,18424712,1,52,73,48,62,4,11,13,12,55,3,3,1,6,3,0,4,1,0,8,917.234900794877,1084.9828648394127,1338.1849285584942,1946.249847450029,2361.340144109843,6329.674497661038
2270,18429190,1,19,29,24,27,1,4,2,2,74,1,1,2,0,5,0,2,1,0,9,1372.8569303611073,1958.831214960504,2017.7687092392964,2603.5389550443942,2614.9826489462716,6960.738735812489
2271,18429852,1,3,4,4,3,1,0,16,0,18,1,0,0,0,2,0,0,2,0,5,7482.312049886774,7547.5376947611585,8336.190165023865,8781.08491929431,5615.832105134368,7021.265169899034
2272,18447127,1,88,90,77,91,3,16,70,24,46,8,6,2,1,5,0,15,3,0,29,1103.2243313625738,1199.3996279038884,1285.013235277281,1800.9022711412904,2093.117691742172,5152.195600769522
2273,18452093,1,14,7,25,3,1,2,47,0,55,1,0,0,0,4,0,1,0,0,4,1936.8830610883615,2710.8706634691257,2733.2546587624834,3267.7079963752567,3543.70372301707,4995.843841555639
2274,18465694,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,11321.338020801259,12063.149674195178,12152.070909959337,12817.667983230906,7894.192214840276,10928.105015139932
2275,18468018,1,30,24,30,18,1,3,40,8,35,0,0,0,0,3,0,1,0,0,6,1177.703015914394,1514.7760948365521,1850.0932324450555,2147.61561021343,1489.6654052303677,5303.537049571913
2276,18475022,1,30,24,30,18,1,3,40,8,35,0,0,0,0,3,0,1,0,0,6,1177.703015914394,1514.7760948365521,1850.0932324450555,2147.61561021343,1489.6654052303677,5303.537049571913
2277,18475161,1,30,24,30,18,1,3,40,8,35,0,0,0,0,3,0,1,0,0,6,1177.703015914394,1514.7760948365521,1850.0932324450555,2147.61561021343,1489.6654052303677,5303.537049571913
2278,18475231,0,5,4,3,4,0,0,28,0,75,0,0,0,0,3,0,0,0,1,1,4580.147152282052,4791.505221641144,5044.928039773314,5893.265874811172,4516.325626865971,8373.567216559914
2279,18485920,0,0,4,2,0,0,0,6,0,43,0,0,0,0,2,0,0,1,0,2,10095.352417783857,11311.545386732905,11582.760773770715,12511.56777052513,11376.287345140854,16343.204019781053
2280,18501689,1,14,26,8,19,1,3,35,12,38,0,0,1,0,4,0,3,0,0,7,1271.6755665885528,1843.529887890881,1982.1096285614146,2893.910386976886,2626.4391907420822,5338.080616183491
2281,18502507,1,27,37,11,32,2,7,47,20,73,2,0,2,0,3,0,3,0,0,8,1121.7395193826069,1336.3200878086473,1588.2735542711707,2569.6218719853287,3043.8120955128106,5548.244692394807
2282,18503644,1,18,20,22,32,0,1,1,0,133,3,0,1,0,8,0,2,0,0,10,2217.7848844989517,2755.4617858223005,2762.636317825368,3372.053499455274,3392.1800003580943,7652.829598391964
2283,18504119,1,4,9,3,6,2,2,27,0,83,0,0,1,0,0,0,2,1,1,2,3733.577482287382,3903.274411717823,4199.257690705882,5012.474563508206,4657.3611262957465,7965.578297113158
2284,18507357,1,21,27,30,47,1,4,21,3,164,3,1,3,1,5,0,3,1,0,13,1929.0031598215496,1954.2319450729658,2045.9657855956882,2863.1115263180304,3374.658847238044,7039.732769223468
2285,18512545,1,215,217,109,257,13,24,91,33,73,17,8,3,5,4,1,25,7,0,33,370.1529469184437,535.4548164450407,680.322896619466,1384.828184902699,2011.8042959997892,5307.154216569258
2286,18513357,1,208,206,107,260,11,24,88,34,74,16,8,3,5,5,1,24,5,0,34,367.6370076381622,592.5078354591845,749.2827025560576,1371.1510910636694,1874.819497491247,5313.113910178227
2287,18514743,1,1,0,2,1,0,1,0,0,10,1,0,0,0,2,0,0,1,0,1,2933.198668428963,4911.228498923511,4930.596162303879,5544.32452278501,4595.464504872344,6939.5821988339285
2288,18515537,1,206,203,108,260,11,25,88,34,75,16,8,4,5,5,1,25,5,0,35,365.38971370818336,601.8650728209587,760.69552918755,1365.4193272303075,1841.4631551168302,5317.48222787266
2289,18517231,0,5,3,7,2,1,0,0,0,50,0,0,0,0,0,0,0,1,0,5,11338.700609493839,13464.451677890587,13858.243157005463,14057.303076373375,4517.759573052021,10724.309979665246
