,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2068,29057483,1,9,12,33,34,2,1,68,1,39,5,0,0,0,8,1,4,2,1,16,3058.337831488752,6743.906781416848,6745.283982763612,8280.61588080057,6988.393307082142,15894.44813181061
2069,29067213,1,36,28,24,78,2,1,66,4,90,5,0,0,8,9,0,3,1,1,17,686.717442041772,2640.682414290955,2746.663359342469,4259.665501959258,1684.0865808286228,12807.66940523031
2070,29073959,1,10,24,16,35,1,3,74,5,90,3,1,0,0,1,0,1,0,1,21,2675.485457006481,2754.299650941538,2816.5969789511196,5396.640251048573,3978.128496371503,14093.382347388395
2071,29088519,1,87,89,65,190,5,7,76,6,71,10,1,9,7,13,1,13,0,1,33,955.5287047329949,1093.8733269233026,1225.8326339956113,3552.61307136471,1220.1558947379965,12275.735826266307
2072,29096214,1,119,144,81,315,3,7,120,9,76,31,1,13,16,8,1,36,2,1,24,153.24396887855718,153.5688880038411,160.53360759725646,2962.030189323861,1393.299541328361,11814.693272129298
2073,29108536,1,0,5,17,7,0,0,40,1,46,4,0,0,0,1,0,2,1,1,5,7377.1802906418425,8549.14656855069,8669.337993509478,9970.129979613761,10169.915620617812,15846.406293173355
2074,29108942,1,5,3,1,8,1,0,27,0,13,1,0,1,0,2,0,0,0,1,4,2782.5484591838085,4773.933625662785,6020.5674048075525,7040.869973649905,5280.232496550424,15179.749284869886
2075,29109830,1,2,5,16,8,1,0,56,0,149,2,0,0,0,4,0,1,2,1,11,6941.375865729311,6944.171594504515,6981.5948259227225,9032.810779638674,8452.815517994719,16409.213135268434
2076,29113843,1,6,3,8,13,0,1,43,0,82,1,0,0,0,2,9,1,1,1,8,5291.3611834581625,6757.092192193669,6903.8590175174295,8671.149001224398,6452.123637244694,17580.039632572774
2077,29116051,1,20,34,19,110,3,5,72,10,138,4,0,2,0,3,0,5,0,1,21,1637.8671620605955,1681.8085102572484,1738.0222166046296,3241.9870406080954,2096.0638688194304,10548.308322117395
2078,29124571,1,8,10,5,32,0,0,64,6,84,4,0,0,0,5,0,1,0,1,8,1893.1349193602418,1991.1188803089694,2626.4958642991546,4006.7252358982664,2194.1970079202424,10569.868618223985
2079,29140686,1,3,4,4,4,0,0,25,2,34,1,0,0,0,1,0,0,0,1,2,1985.3278635955112,2596.91337228504,4810.636663586307,5406.710885887589,1626.0086265128862,11028.946454708343
2080,29146706,1,46,87,64,158,12,33,65,11,76,8,1,4,0,7,0,5,0,1,27,569.8021105156463,1562.3082448299422,1842.397900627099,2923.327848693775,1343.0023805272858,10878.807913226843
2081,29148072,1,58,102,61,174,19,37,68,11,72,12,0,4,1,4,0,8,0,1,26,340.89039765445176,1278.5393429701714,1649.455006827664,2868.072886186974,1567.1495169366362,10922.71188178042
2082,29162405,1,30,47,32,129,4,8,76,9,94,4,0,2,0,4,0,6,0,1,20,1289.3922680610606,1584.387976231437,1998.4464060660578,3104.7841416895494,2247.372654394508,10631.218073653112
2083,29195506,1,3,1,3,7,0,0,36,0,30,0,0,0,0,1,0,0,0,1,3,7778.9900089150515,8112.773016793793,8122.605930164504,9828.589748371523,9654.837430064556,16411.291420386955
2084,29246091,1,53,99,53,166,19,37,71,11,65,11,0,3,2,2,0,9,0,1,23,603.2157394079916,1315.5491922980473,1755.4584736374502,2927.7378988845894,1905.9784331829158,10921.560534884582
2085,29268474,1,57,71,106,165,5,6,179,8,80,15,2,7,10,7,1,7,2,1,34,719.9972629246001,1442.5579640558094,1509.8255174059382,3352.090772732783,495.3211181712425,11725.627264095714
2086,29301238,1,35,85,100,179,6,19,178,11,72,18,2,7,14,7,1,11,1,1,34,995.5817171032329,1438.0084461932784,1457.3140805277194,3042.8196887047193,339.9518450834506,11163.307743399724
2087,29306187,1,104,104,49,195,4,4,84,6,50,11,0,7,3,10,0,13,0,1,22,888.5557829645008,1037.4623464182293,1091.9118362124057,3664.319043670858,1698.8559331363415,12513.338335179156
2088,29323630,1,105,117,56,226,5,3,90,7,59,12,0,7,3,9,0,14,1,1,22,718.3035374805286,865.5660453407776,923.223688388492,3564.5085368904374,1703.0506857585208,12426.062508550589
