,id,prop_of_eng_reviews,mean_compound,mean_negativity,mean_neutrality,mean_positivity,mean_review_length,prop_of_neg_comp,most_neg_compound,most_pos_compound
2871,40886602,0.6419753086419753,0.7310333333333334,0.00928395061728395,0.5626172839506176,0.4033950617283951,147.03703703703704,0.012345679012345678,-0.1025,0.988
2872,40888647,0.6666666666666666,0.9286666666666665,0.0,0.5183333333333333,0.48166666666666663,148.66666666666666,0.0,0.8854,0.983
2873,40895210,0.6666666666666666,0.8472333333333334,0.004,0.7599999999999999,0.23600000000000002,315.0,0.0,0.6666,0.9446
2874,40931594,0.3181818181818182,0.90915,0.0,0.524681818181818,0.47531818181818175,168.77272727272728,0.0,0.636,0.9732
2875,40956947,0.5,0.57465,0.0,0.557,0.443,107.5,0.0,0.5244,0.6249
2876,40961775,0.6063829787234043,0.763609574468085,0.009627659574468086,0.5357446808510639,0.4120744680851064,146.86170212765958,0.010638297872340425,-0.4767,0.9944
2877,40987107,0.0,0.2814333333333333,0.10099999999999999,0.5753333333333334,0.324,354.6666666666667,0.3333333333333333,-0.9584,0.9585
2878,40994043,0.4375,0.83088125,0.00746875,0.5398125,0.45271875,135.09375,0.0,0.0979,0.9841
2879,40996294,0.5,0.632075,0.0,0.62975,0.37024999999999997,106.5,0.0,0.0,0.9571
2880,41002910,0.575,0.8833175000000001,0.014700000000000001,0.5678500000000001,0.41744999999999993,186.825,0.0,0.4215,0.9881
2881,41029426,0.9090909090909091,0.8848363636363636,0.0,0.5878181818181818,0.41218181818181815,266.0,0.0,0.6588,0.9868
2882,41046837,0.75,0.907275,0.0075,0.6799999999999999,0.31225,231.75,0.0,0.8689,0.9358
2883,41117212,1.0,0.7887,0.0,0.801,0.199,169.0,0.0,0.7887,0.7887
2884,41178882,1.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0
2885,41188915,0.37777777777777777,0.7693711111111113,0.012711111111111112,0.5850666666666666,0.40222222222222226,138.0,0.022222222222222223,-0.298,0.9796
2886,41279172,1.0,0.9492,0.0,0.7555000000000001,0.2445,342.5,0.0,0.9359,0.9625
2887,41309273,0.21153846153846154,0.8384980769230768,0.007326923076923077,0.5961923076923076,0.39646153846153837,187.44230769230768,0.019230769230769232,-0.3244,0.9895
2888,41330210,0.5,-0.27595,0.0655,0.8935,0.041,269.5,0.5,-0.5519,0.0
2889,41344646,0.5925925925925926,0.8618111111111111,0.006222222222222222,0.5944444444444444,0.39925925925925926,204.77777777777777,0.0,0.34,0.9898
2890,41346574,0.49019607843137253,0.5659176470588235,0.03094117647058824,0.6028235294117646,0.3466078431372549,187.7058823529412,0.09803921568627451,-0.9812,0.9786
2891,41363367,0.75,0.8637,0.0,0.6145,0.38549999999999995,157.75,0.0,0.636,0.972
2892,41369423,0.0,0.8287500000000001,0.0,0.614,0.386,125.0,0.0,0.7264,0.9311
2893,41416110,1.0,0.7466999999999999,0.0,0.756,0.244,140.5,0.0,0.6808,0.8126
2894,41429452,0.6666666666666666,0.8849,0.0,0.5,0.5,123.33333333333333,0.0,0.8402,0.9409
2895,41446376,1.0,0.7739,0.0,0.3775,0.6225,59.5,0.0,0.765,0.7828
2896,41448699,0.7777777777777778,0.7454555555555555,0.002,0.5083333333333333,0.37866666666666665,126.33333333333333,0.0,0.0,0.9727
2897,41452001,0.2,0.56098,0.0,0.6654,0.3346,61.6,0.0,0.0,0.9039
2898,41495524,1.0,0.9284749999999999,0.0145,0.591,0.3945,220.75,0.0,0.9001,0.9583
2899,41560851,0.0,0.7999,0.0,0.7070000000000001,0.29300000000000004,141.0,0.0,0.7425,0.8573
2900,41574129,1.0,0.7096,0.0,0.742,0.258,105.0,0.0,0.7096,0.7096
2901,41601011,0.0,0.9666,0.0,0.426,0.574,148.0,0.0,0.9666,0.9666
2902,41613877,0.5,0.14100000000000001,0.067,0.531,0.402,99.0,0.5,-0.1646,0.4466
2903,41633492,0.8333333333333334,0.7012499999999999,0.0,0.46900000000000003,0.36433333333333334,108.16666666666667,0.0,0.0,0.977
2904,41664729,0.0,0.8074,0.0,0.291,0.709,33.0,0.0,0.8074,0.8074
2905,41697611,1.0,0.2263,0.0,0.787,0.213,34.0,0.0,0.2263,0.2263
2906,41702075,0.5384615384615384,0.6657846153846154,0.022230769230769228,0.4849230769230769,0.338923076923077,123.3076923076923,0.0,0.0,0.955
2907,41710827,0.288135593220339,0.6167720338983048,0.02145762711864406,0.5649745762711865,0.3966355932203391,151.10169491525423,0.046610169491525424,-0.9409,0.9915
2908,41711024,0.33969465648854963,0.6081830152671759,0.02304961832061068,0.5295038167938927,0.41882251908396984,120.83587786259542,0.04961832061068702,-0.9549,0.9921
2909,41711131,0.2647058823529412,0.643870588235294,0.0105,0.5447941176470588,0.3858823529411764,126.44117647058823,0.0,0.0,0.9571
2910,41759275,1.0,0.97565,0.019,0.7304999999999999,0.25,544.5,0.0,0.9715,0.9798
2911,41764938,0.42857142857142855,0.7074999999999999,0.0005714285714285715,0.4812142857142857,0.48249999999999993,100.5,0.0,0.0,0.989
2912,41767255,0.3333333333333333,0.9228333333333333,0.0,0.3733333333333333,0.6266666666666666,87.66666666666667,0.0,0.902,0.938
2913,41809383,1.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0
2914,41819270,1.0,0.819625,0.0285,0.6867500000000001,0.28475,209.75,0.0,0.6362,0.9184
2915,41838712,0.6666666666666666,0.14049999999999999,0.0,0.421,0.24566666666666667,46.666666666666664,0.0,0.0,0.4215
2916,41856368,0.6666666666666666,0.9295666666666667,0.0,0.5403333333333333,0.45966666666666667,142.33333333333334,0.0,0.8881,0.9722
