,id,counts,brightness
301,12753648,10,104.52765824426301
302,1276002,17,174.3921224679468
303,12778275,14,135.84863378207112
304,12792719,14,121.37180342723964
305,12793208,6,115.63436274273404
306,12809833,9,107.796431112029
307,12811219,10,131.9589627833714
308,12816494,6,117.02259455991314
309,12822768,14,121.97480296093865
310,12822802,7,123.0829561654909
311,12849119,2,130.0574620627572
312,12885399,19,149.34824318587908
313,12885762,2,76.97189814814814
314,12887227,2,96.3558521412037
315,12897537,16,135.3961779634452
316,12904479,7,173.0964947037255
317,12913790,11,105.97101986298168
318,12920636,15,180.7411064417436
319,12925152,22,134.3803000627754
320,12930876,27,107.47938320520085
321,12942076,2,115.41977083333333
322,12951324,5,126.1886104359568
323,12952324,2,123.54442668145575
324,1296492,16,136.5416945963073
325,12965892,1,98.59008744855967
326,12966754,8,112.7313568615177
327,12981422,11,134.0035553305041
328,12981704,26,110.4816536211024
329,12983775,15,135.9004264341933
330,12995940,13,113.87332470223963
